If Shirley crabtree met Luke Mc Masters which 2 wrestlers would be in opposition,Big Daddy & Giant Haystacks
On The human body the Hallux Is Otherwise known as what,The Big Toe
Who became The Narrator Of Thomas The Tank Engine In The Usa,Alec Baldwin
"Which Word Can Go After House, Stag, Hen, Labour",Party
What Was Created In The Late 90's Daniel Malmedahl & Erik Wernquist,The Crazy Frog
In The 80's Barbara Woodhouse Found Fame Working With What Type Of Animals,Dogs
Which Early Adding Device Comes From The Latin For Flat Surface,Abacus
"If You Were Talking To Frank, What Are You Most Likely To Be Discussing",Drugs
What Hugely Successful Series Of Characters Was Created By Roger Hargreaves,Mr Men & Little Miss
Which Ship Carried Sir Francis Drake On His Round The World Voyage From (1577 1580),The Golden Hind
Who Was Princess Diana's Chauffer On Her Final Fateful Journey In 1997,Henri Paul
If A Person Is An Octogenarian What Decade Of Their Life Are They In,Ninth
Jim Hensons Creature Shop Manufactured These 4 Characters & Their Arch Rival Shredder Who Are They,Teenage Mutant Ninja Turtles
Last Week The Jackpot Included A Question Relating To The Ozone Layer Which We All Know Is Affected By CFC's What Does The Abbreviation CFC's Stand For,Chloro Flouro Carbons
Which Item Of Clothing Cost “Isadora Duncan” Her Life,A Scarf
What Is The 2nd Most Widely Spoken Language In The World,English
In The Musical Oklahoma How High Did The Corn Grow,As High As An Elephants Eye
In Coronation Street What Was Deirdres First Married Name,Langton
"Tom Whitaker Was The First Man To Climb Everest With A Disability But What Was It That Hindered Him, 1 Leg, 1 Arm, Tyrettes Syndrome, Pacemaker, Blind",1 Leg
Name The 2 Families That Were Feuding In The Story Of Romeo & Juliet (Point 4 Each),Capulets & Montagues
What Was The 2nd Thing Goldilocks Did When She Entered The Home Of The 3 Bears,Sat On The Chairs
Spell For Me Please The Word “ Tsetse ” As In The Tsetse Fly,Tsetse
In Washington DC 1 In 25 People Have The Same Profession What Is It,Solicitor / Lawyer
Which Political Party Introduced The Old Age Pension In,Liberal
What Are The First Words Of Winnie The Pooh Every Morning,“What's For Breakfast”
Which Famous Father Has Daughters Called Beatrice And Eugene,Prince Andrew
What Kind Of Creature Is Fozzie In The Muppets,A Bear
Which Expensive Type Of Vinegar Is Aged In Wooden Barrels,Balsamic Vinegar
Which Type Of Terrier Is The Largest Of The Breed,Airdale terrier
What Is The Name Of The Founder Of Amstrad,Alan Michael Sugar
Who Had Sticky Moments On Tour,Julian Clarey
Who Is Sacha Baron Cohen Better Known As,Ali G
What Does A Hematologist Study,Blood
Lime Street Station Is In Which English City,Liverpool
What Kind Of Stamps Did People used To Collect When Purchasing Petrol,Green Shield
What form of energy is often known as motion energy,Kinetic Energy
Who Character Does Lucy Lawless Play On Television,Xena Warrior Princes
What Name Is Given To The Beam Above A Door,Lintel
In The Army What Rank Is Directly Above A Colonel,Brigadier
What Is Signified By The Number 12 On The Beaufort Scale,A Hurricane
Who Or What Is Sweet William,A Flower
How Many Noughts Are There In The Written Number One Hundred Million,8
The Island Of Fiji Is In Which Ocean,Pacific Ocean
Who Wrote About Noddy & Big Ears,Enid Blyton
What 2 Colours Does Dennis The Menace Have On His Sweater,Red & Black
Who's home planet was Gallifrey?,Dr Who
Why does a glow worm glow?,To attract a mate
The spice Saffron is from which flower?,Crocus
Where do the Teletubbies live?,Home Hill
How many years was Nelson Mandela held in prison?,27
What is Mark David Chapman famous for?,Shooting John Lennon
What links the two films Romeo and Juliet and Moulin Rouge?,Baz Luhrmann directed
Which aptly named spider devours it's partner after mating?,Black widow spider
Who was manager of Manchester United before Alex Ferguson?,Ron Atkinson
In which childrens book would you meet Charlie Bucket?,Charlie & the chocolate factory
Which element has the highest melting point?,Carbon
If you die intestate you have not done what?,Made a will
Who is older Bill Wyman or the Prince of Wales?,Bill Wyman
What type of fruit is a jargonelle?,A Pear
Which childhood disease is also called Varicella?,Chicken Pox
What is the lowest number on a standard dartboard that can't be scored with one dart?,23
Which is the largest reptile on earth?,The Crocodile
How is New Amsterdam now known?,New York
Who was the author of the third Gospel in the New Testament?,Luke
What sort of creature is a flying fox?,Bat
In which State is Fort Knox?,Kentucky
Who was Jennifer Aniston's God Father?,Telly Savalas
Which film star has a daughter called Sage Moonblood?,Sylvester Stallone
What is the best selling book of all time?,The Bible
Which French term is used to describe excellent food?,Cordon Bleu
What does a Philatelist collect?,Stamps
In which country is the Suez Canal?,Egypt
What do we call young Squirrels?,Kittens
Which transporter was invented by Christopher Cockerill?,The Hovercraft
Who is the eldest of the Bronte Sisters?,Charlotte
Which company is the world's largest buyer of beef?,McDonalds
What colour is the spot in the middle of the Japenese flag?,Red
Which is the oldest University in America?,Harvard
"Which grows fastest, finger or toe nails?",Finger Nails
From which fruit is the spirit Kirsch made?,Cherries
Which chemical element has the symbol Fe?,Iron
On which Mediterranean island is Mount Etna?,Sicily
Which super hero is associated with Greyskull Castle?,He-Man
What could be affected by Glaucoma?,The Eyes
Ancient Egyptians used to sleep on pillows made of stone true or false?,TRUE
Which car manufacturer's name means People's Car?,Volkswagen
"What can be Tea, Hybrid or Floribunda?",Roses
Which Bond Villain was guarded by OddJob?,Goldfinger
What is known as Old Glory?,The US flag
What is collected by a Tegestologist?,Beer Mats
Who created Bridget Jones?,Helen Fielding
In which British National Newspaper does Andy Capp appear?,The Mirror
Tarzan goes to Cardiff. Is this a title of a film true or false?,FALSE
"Who were Joy, Babs & Teddy?",The Beverley Sisters
Name 3 actors who have appeared in both Pulp Fiction and Reservoir Dogs?,"Harvey Keitel, Tim Roth, Quentin Tarantino Or Steve Buscemi"
Apart from Strike It Lucky which quiz show had a Hotspot?,Blockbusters
What is the birth stone for April?,Diamond
What name is given to an abnormally low body temperature?,Hypothermia
"Which unit of time is 86,400 seconds long?",A Day
Who is the oldest Catherine Zeta Jones father or husband?,Her Husband (Michael Douglas)
"Who were Babs, Louise, Cherry, Dee Dee & Ruth?",Pan's People
"If err is human, what is it to forgive?",Divine
Who lived at 52 Festive Road?,Mr Benn
Which chemical element has the Atomic Number One?,Hydrogen
In which sport would you Bully-Off?,Hockey
"What are Mizaru, Mikazaru, and Mazaru",3 wise monkeys ?
,"( Hear no evil, say no evil, see no evil)"
"If a dish is a la Florentine, which ingredient is it assumed to have?",Spinach
In Computing what do the initials Jpeg stand for,Joint Photographic Experts Group
What is Digamy,A Second Legal Marriage
Who won the 1936 'Miss Hungary' title but had to give it up because she was under 16?,Zsa Zsa Gabor
Alba is the Celtic name for which country?,Scotland
What kind of pack contains 78 cards?,Tarot
Who was known as the Big O?,Roy Orbison
Who was featured on the back of the last pound notes to be issued by the Bank Of England?,Isaac Newton
In which cartoon strip will you find Lucy and Linus?,Peanuts
Which fruit is a hybrid between a Raspberry and a Blackberry?,Loganberry
In which TV series did Lenny Henry play a character called Gareth Blackstock?,Chef
On which Caribbean Island is Montego Bay?,Jamaica
"In 2000 BC, Egyptians used crocodile and elephant dung as a contraceptive?",TRUE
Which super-hero did Diana Prince turn into?,Wonder Woman
In which 1967 film is Ben Braddock the central character?,The Graduate
"What can be closed cup, open cup, button or flat?",Mushrooms
What is studied by an oologist?,Eggs
In which US State is Pearl Harbour?,Hawaii
Which Letter Is between G and J on a standard British computer keyboard,H
Which is the hardest known mineral?,Diamond
How many squares are there on a monopoly board?,40
What is the minimum number of straight-line cuts needed to cut a pizza into 8 equal pieces?,3 ( half it then quarter it stack those pieces together & cut again)
What is the longest common word that can be written on the top row of a typewriter?,Typewriter or Proprietor
What is the Italian word for pie?,Pizza
What is the National language of Monaco?,French
What do the initials CB stand for in CB radio?,Citizen's Band
Which animal builds lodges and dams?,The Beaver
The Original Porsche was a sports version of which car?,VW Beetle
What Is The Letter J Worth In A Game Of Scrabble?,8
How many former British Prime Ministers are alive today? (2006),"3 Major, Thatcher & Heath"
Which three words make up the UK's most popular advertising slogan ever?,“Beanz Meanz Heinz”
In what way did Sada Walkington become a TV first in July 2000?,First Big Brother Eviction
Which toy was named from the Greek word meaning ‘beautiful shape to see'?,Kaleidoscope
"Many animals have four legs, but which is the only one with four knees?",Elephant
"If you were reading about Chasing the sparrow, The spinning top, The leap of the hare & The tree climber what book would you be reading?",The Karma Sutra
Which English city has 35 miles of canals?,Birmingham
Which Japanese word means ‘wind of the gods'?,Kamikaze
Which fruit is the main ingredient of the relish guacamole?,Avocado
On which date is St Swithin's day?,15 th July
Who is the actress Joley Richardson's famous mother?,Vanessa Redgrave
How many hands does the Big Ben clock have?,8 (two on each face)
What polish born Immigrant started manufacturing & selling Makeup in 1903,Max Factor
Who Was Assasinated In a Harlem Ballroom In February 1965,Malcolm X
What Does The Party Political Name Sin Fein Actually Mean,Ourselves Alone
Who Wrote The Novel The 3 Musketeers,Alexandre Dumas
What Is The More Common Name For Allergic Rhinitus,Hay Fever
What Motor Company Was Founded In 1903,The Ford Motor Company
In A Standard Deck Of Playing Cards Which King Does Not Have A Moustache,King Of Hearts
Who finally got a belly button in 2000?,Barbie
Which piece of sporting equipment weighs 4lbs 6oz?,Discus
Whom did the lawyer Marcia Clark most famously fail to convict in 1995?,O.J Simpson
Which ranch was home to J R and Sue Ellen?,South Fork
"What can be African, Chinstrap, King or Emperor?",Penguins
What kind of food is Dolcellate?,Cheese
Which everyday object measures exactly 210mm by 297mm?,A Sheet Of A4 Paper
In which city was Martin Luther King assassinated?,Memphis
Which Turkish word means grilled meat?,Kebab
Which MP boasted about drinking 14 pints a day in 2000?,William Hague
Which brewery abandoned the Swastika as it's logo in the 1930's?,Carlsberg
Which animator produced Peter Gabrials 1986 video for SledgeHammer?,Nick Parks
Which Teletubby rides a scooter?,Po
What is 54 gallons of beer known as in imperial measures?,Hogshead
In which London street did Sweeney Todd run his infamous barber shop?,Fleet Street
What Is The Name Of The Well Know Cat Created By Roger Davis,Garfield
In Pop Music What Was The Colour Of Natalie Coles Cadillac,Pink
What Colour Coat Does The Dog In Trap No.1 Wear In Greyhound Racing,Red
Into Which Sea Does The River Danube Flow,Black Sea
Which Medal Founded By U.S. President George Washington Is Awarded To American Service Personnel Wounded In The Course Of Duty,Purple Heart
What Was Abba's First Ever U.S NO.1 SINGLE,Dancing Queen
What Type Of Athletes Perform A Flic Flac,Gymnasts
In which Country is Botany Bay,Australia
What Goes Between A Nut And A Bolt To Protect It,Washer
Which Magazines Title Is The French Word For She,Elle
This Event Took Place On The 25 th Of October 1854 What Was It,The Charge Of The Light Brigade
In Computing Quite Simply What Does The Abbreviation USB Stand for,Universal Serial Bus
What Is The Term Hydrocephalus More Commonly Known As,Water On the Brain
Written By John Steinbeck and First Published in 1937 What Famous Novel Tells The Story Of George And His Simple Minded Friend Lennie,Of Mice & Men
What Are The First 3 Words Of The Bible,In The Beginning
An Installment Of Which Characters Life Was Entitled The Cappuccino Years,Adrian Mole
What Was Ho Chi Min City Called Before The Year 1975,Saigon
What Is The 3 rd Letter Of The Greek Alphabet,Gamma
What Does The Phrase Al Qaida Translate To In English,The Foundation
Which Comedian And Reformed Alcoholic Advertised John Smiths Bitter In The 90's,Jack Dee
"Which 1997 Film Had Cameo Appearences By Roger Moore, MeatLoaf, Elvis Costello Richard E Grant, And Michael Barrymore",Spice World The Movie
How Much Would An Old Sixpence be worth in today's modern decimal currency?,2 and a half pence
Bill Halley's Rock Around The Clock Was The Theme Song To Which Movie?,The Blackboard Jungle
Who Led The Indian Tribes At The Battle Of Little Bighorn?,Sitting Bull
What Was The Name Of Long John Silvers Parrot In Treasure Island?,Captain Flint
Is The Giants Causeway In Ireland Or Scotland?,Ireland
How many of the walker brothers trio were actually related?,None
What was the name of the ex con chauffer in thunderbirds who drove a pink Rolls Royce?,Parker
Who Invented The Bouncing Bomb In The Second World War?,Barnes Wallace
In Which Ocean Is Christmas Island?,Indian
What Was London's Bt Tower Known As Until 1981,The Post Office Tower
Idi Amin Was The Head Of State Of Which African Country,Uganda
"Which Shakespeare character has been played on film by Laurence Olivier, Mel Gibson & Kenneth Branagh?",Hamlet
What Is The Highest Finishing score or Out Score in a game Of Darts,170
Apart From John Smith Which Other Labour Leader Died While In Office?,Hugh Gaitskell
What Colour Is The Number 10 On The Front Door Of No 10 Downing Street,White
Play Beats International- Dub Be Good To Me ask in what decade it was No 1?,1990
Who replaced Tom Baker as Doctor Who?,Peter Davidson
In which English county is Dartmoor?,Devon
What is the Japanese art of cultivating trees called?,Bonsai
Which element has the chemical symbol Pt?,Platinum
Which was Roger Moore's first Bond film?,Live and Let Die
What Is The Capital City Of Luxembourg?,Luxembourg?
"Where might you drink the wine, Retsina?",Greece
'Muckle Flugga' Belongs To Which Group Of Islands,The Shetland Islands
"Paul Hill was a member of which quartet, much in the news in 1989?",The Guildford Four
In which film does Michael Douglas play a character called Dan Gallagher?,Fatal Attraction
In which US city was Ally Mcbeal set?,Boston
What color is the cross on the flag of Finland?,Blue
"Which 1979 Film features the characters Ripley, Dallas, Brett and Lambert?",Alien
"In degrees centigrade, what is the normal body temperature?",37
After Greenland What Is The 2 nd Largest Island On Earth?,New Guinea
What Is The Most Common Metal On Earth?,Aluminium
Where Is The Largest Bell In The UK?,St Pauls Cathedra
Which drink was advertised on TV by Joan Collins and Leonard Rossiter?,Cinzano
"What word is used to describe someone who is neither left or right handed, but can use both hands with equal ease? ",Ambidextrous
"Which 1997 film starring Jack Nicholson is known in China as ""Mr. Cat Poop?",As Good As It Gets
"Which Town Had A Clock That Told The Time 'Never Too Quickly, Never Too Slowly'",Trumpton
What on the human body is the mandible?,Jawbone
"In the world of Politics, what was broadcast live on British TV for the first time on the 20th March 1990?",The Budget
Which month in 1914 did World War One begin?,August
What are the three ingredients of a Pina Colada?,"Rum, Pineapple Juice & Coconut Milk"
In the Phonetic Alphabet which two cities are used for letters?,Lima & Quebec
What happened for the first time in the UK on the 19 th November 1994?,The National Lottery Was Drawn
By what name was the serial killer Alberto Desalvo who killed 13 women between 1962 & 1964 better known?,The Boston Strangler
What is Britain's biggest railway station?,Waterloo
What is the highest rank of the British Army?,Field – Marshal
What is the world most infectious disease?,Measles
Which fruit used to be called the love apple?,Tomato
If you want to kiss the Blarney Stone which Irish county must you visit?,County Cork
How many people make up a jury in Scotland?,13
If The Hands on a clock are at 5 past 12 what is this expressed as an angle,30 Degrees
Which newspaper replaced the Daily Herald in 1964?,The Sun
"Which other profession connects the comedians Harry Hill, Graeme Gardener and Graham Chapman?",Medicine.All are qualified Doctors
"Where Would You Find The Characters Inky, Pinky, Blinky and Clyde?",Pac Man (Video Game)
"Home to 9.6 Million people, which is Europe's most populated city?",Paris
Which member of the Royal Family lives at Gatcombe Park?,Princess Anne
"Which Head is 174 miles from Gateshead, 235 miles from Minehead & 94 miles from Holyhead?",Birkenhead
Which famous monument was packed in 214 crates before being shipped from France to the United States?,The Statue Of Liberty
Which celebrity couple featured in a book on British slang as a rhyming slang euphemism for sex?,Posh & Becks!
Which of the following is the odd one out,Dragon Wagon
"Try and come up with a word that has more than 11 letters, contains the letter R and where the last 3 letters end with und",UnderGround
"What was the name of the Army major found guilty of cheating his way to £1 million on the TV show ""Who Wants To Be A Millionaire""?",Major Charles Ingram
"What type of animal was the toy called Weezy in the film ""Toy Story 2""?",Penguin
What Is Britain Largest Motorway,M6
Jake and Elwood are more commonly known as what,The Blue Brothers
In which book of the Bible are the Ten Commandments first mentioned?,Exodus
At which racecourse is the Grand National run?,Aintree
What is the name of Derek Trotter's local?,The Nag's Head
Name Any Of The 3 ballets composed by Tchaikovsky?,"Swan Lake , The Nutcracker, Sleeping Beauty"
Which psychological illusionist hit the headlines by playing a controversial game of Russian Roulette live on television in 2003?,Derren Brown
The term Big Brother is taken from which George Orwell book?,"""Nineteen Eighty-Four"""
The Fraction (22 / 7) Is More Commonly Known As What,PI = 3.141
Which musical instrument is associated with Artie Shaw?,Clarinet
"What was the first ever breathalyzer called was it The Boozogauge, The Sober-U-Up Ometer or The Drunkometer?",The Drunkometer
Who featured on East 17's Number one hit “If You Ever” in 1996?,Gabrielle
What did old mother hubbard keep in her cupboard,Nothing
Which Car Manufacturer Produces The Corolla Rang,Toyota
Between which 2 cities did the orient express originally run,Paris & (Constaninople/Istanbul )
Which 1956 Film Features The Song “Who Wants To Be A Millionaire”,High Society
Which Sheffield theatre was opened in 1972,The Crucible
Which country was nearest to where the titanic was found,Canada
What is the only number that has the same number of letters as its value?,Four
Who Has A Number One Hit With The Song (One In Ten)?,UB40
What 6 Letter Name is John Clayton better Known as in a number of books?,Tarzan
Name The Killer Whale Released Into The Wild After Starring In The Free Willy Movies?,Keiko
What is the largest Scandanavian Country By Area,Sweden
"Brenda, Dolly, Jean Anita & Twinkle are collectively known as what?",Dinner Ladies
What Colour Wine Goes Into A Sangria,Red
How Are Angles Measured Other Then Degrees,Radians
Who Was Responsible For Setting Up The Girl Guides Movement,Agnes Baden Powell
If Your were taking a walk down Lonely Street what might you come across,Heartbreak Hotel
How did Al Capone meet his death,He Died Of syphilis
Who had a No.1 album in 1998 with where we belong,Boyzone
What is 10 inches tall gold plated and weighs seven pounds?,An Oscar
"What Happened In June 1994 At 875 South Bundy Drive, LA",Nicole Simpson & Ron Goldman Were Murdered
In Which City Was The Titanic Built?,Belfast
Which Famous Character Was created by Bob Kane?,Batman
"Who Once Said Of Wales “The Land Of My Fathers, My Fathers Can Have It”?",Dylan Thomas
What is Marcus Bentleys Claim To Fame?,Big Brother Narrator
"If you lived in a plutocracy who would run your government – the rich, the military, the men?",The Rich
In Cockney Rhyming Slang What are you doing if you're getting the Britney's?,Buying A Round
Which Sport Uses A Piece Of Equipment 9 Foot Long & 5 Foot Wide?,Table Tennis
What Group Fist Performed Under The Name FestFolk,Abba
Which Of The Suns Rays Should A Sun Cream Protect You Against,Ultra Violet Or UV
What Put A Stop To Comedian Eddie Large's Chances Of Playing For Manchester City,"A Bus , He Got Run Over"
What Fruit Do Viticulturists Grow,Grapes
In Which Series Of Books Is Arthur Dent The Hero,The Hitchhikers Guide To The Galaxy
What is The Origin Of The Word London,"Lyn Dun , The Fortified Town On The Lake"
Which 1 Of King Arthurs Knights Of The Round Table Found The Holy Grail,Galahad
Which City Is Served By Leonardo Da Vinci Airport,"Rome , Italy"
What Sort Of Exercise Was The CakeWalk,A Dance
What Is Britains Oldest Sunday NewsPaper,The Observer
What Does Volkswagen Actually Mean,Peoples Car
Which Famous Novel Opens In The Fictional Town Of MudFog,Oliver Twist
Who is known as the muscles from Brussels,Jean Claude Van Damme
What sort of animal is a dory?,A Fish
Sofia is the capital of which European country?,Bulgaria
At which battle was Davy Crockett killed?,The Alamo
Who Was Last Seen Alive On The 'Lady Ghislaine',Robert Maxwell
In which city is the Bull Ring Shopping Centre?,Birmingham
Who was the only human to appear on the TV show Spitting Image?,Denis Healey
For How Many Years Did Rip Van Winkle Sleep,20
What is the name of Jim Royals Wife In The Tv Show The Royal Family,Barbara
What Is The Capital Of The Philippines,Manila
Who Wrote Under Milk Wood,Dylan Thomas
Which Motorway Connects Edinburgh With Glasgow,The M8
What Is The Name Of Andy Capps Wife,Flo
Which Acid Does Vinegar Contain,Acetic
What is The Celcius Temperature Scale Otherwise Known As,Centigrade
What is the only bird that walks upright,Penguin
Which Planet Has A Pink Sky,Mars
"Whats Is Britains Best Ever Sit Com, According To A 2004 BBC Poll",Only Fools And Horses
How Many Faces Does A TetraHedron Have,4
Which American Novelist Wrote Of Mice & Men,John SteinBeck
Which Rock N Roll Singer Shocked Britain in 1958 When He Arrived On Tour With His 13 Year Old Wife,Jerry Lee Lewis
What Letter is at the bottom right hand corner of a standard keyboard,M
What Form Of Gambling Was Introduced To Britain in 1922,The Football Pools
What Were The 2 Principal Families in the Classic Us Sitcom Soap (Pfe),The Tates & The Campbels
Who Was The Only Man Who Could Ever Reach Dusty Springfield,The Son Of A Preacher Man
Which venomous snake is thought 2b responsible for the most deaths,Viper
In Which Country Was Lego Invented,Denmark
What is the Currency of Thailand,The Baht
Quantas is the national Airline Of Which Country,Australia
Which Animal Symbolises The Zodiac Sign Capricorn?,Goat
What Was Lady Chatterly's First Name?,Constance
In Computing Terms What Does The Abbreviation I.R.C Mean?,Internet Relay Chat
What type of dancer is Lynn Seymour?,Ballet
From which country do Kiwi fruit originate?,China
Whose TV characters included Mr Angry Of Mayfair & Marcel Wave?,Kenny Everett
In which century did the Chinese Ming Dynasty start?,14th
Which Spice Girls sister was once an extra in Emmerdale?,Melanie Brown
Which river forms the Eastern border between England & Scotland?,River Tweed
Which Literary detective makes great use of his ‘little grey cells'?,Hercule Poirot
What materials did the 3 little pigs use to build their houses?(Point Each),"Straw, Sticks & Bricks"
What is the lightest known metal?,L - Lithium
Which sport star's autobiography is called “All Round View”?,I - Imran Khan
On TV who has played a Liver Bird and a district nurse?,N - Nerys Hughes
In 1980 which group brought out the song Geno?,D – Dexy's Midnight Runners
By what six letter nickname is Daniel Hooper better known?,S – Swampy
What was the name of Rene's wife in the TV sitcom Allo Allo?,E – Edith
Hebe is the Greek Goddess of what?,Y – Youth
Who became the men's Wimbledon singles champion in 1990?,S – Stefan Edberg
What was the former name of the Beatles?,Q – Quarrymen
What was founded on October 24 th 1945?,U – United Nations
Which Literary character falls in love with Rowena?,I – Ivanhoe
How is Don Diego De La Vega better known?,Z – Zorro
Which Actor Provides The Voice Of Bob In The Childrens Tv Show Bob the Builder,Neil Morissey
"Who is missing from this line up Fred Jones, Daphne Blake, Norville Rogers & Velma Dinkley ?",Scooby Doo
What Wouldn't Come Back For Charlie Drake,His Boomerang
Which Sum Is An Anagram Of Eleven Plus Two,Twelve Plus One
Which Italian City is served by Marco Polo Airport?,Venice
By What Name Is The Actor David White Better Known As?,David Jason
Which English Lake Has The Town Of AmbleSide As It's Head?,Windermere
What Did Kim Cotton Become In 1985,Britains First surrogate Mother
What Nationaity Is Feminist Germaine Greer?,Australian
In Which Year Was Us President John F Kennedy Assasinated,1963
What shape is Farfalle pasta?,Bow (butterflies)
Which trilogy Of films were directed by Robert Zemeckis?,Back To The Future
Which river was Jesus Christ Baptized in?,The River Jordan
What is the adult leader of a Brownie pack called?,Brown Owl
Which Singer Maintained That He Did What He Did For Maria,Tony Christie
Who Cut Of The Tails Of The 3 Blind Mice,The Farmers Wife
What Part Of The Body Is Also A Punctuation Mark,Colon
In Which Sport Do The Participants Wear Sheep Skin Nose Bands,Horse Racing
Who Were The First Father And Daughter To Sing Together On A Uk No.1,Frank & Nancy Sinatra
In which U.S State is Pearl Harbor?,Hawaii
Which country achieved independence from France in 1962?,Algeria
Which Tv News Program Began In 1967?,News At Ten
In The Song The Wheels On The Bus Go Round & Round What Do The Windscreen Wipers Do,They Go Swish Swish Swish
Which American President Gave The Order To Wihdraw From The Vietnam War,Richard Nixon
Who sprinkled oofle dust?,Sooty
"What is St Matthew the patron saint of is it Social Outcasts, Tax Officials or Writers?",Tax Officials
Which country does Feta Cheese come from?,Greece
Which disease was known as “The White Plague”?,Tuberculosis
"What do Murry Walker, Elizabeth Taylor and Jimmy Young have in common",All Had Hip Replacements
Whose catchphrase was “I have a cunning plan”?,Baldrick in Blackadder
From which flower is vanilla obtained?,The Orchid
What Type Of Animal Is Andre in The 1994 Film Of The Same Name,A Sea Lion
